Hostname,IPAddress,OS,AssetType,Owner,BusinessCriticality
winws1086,10.30.0.179,WINDOWS 11,Workstation,Team-A,Medium
winws1048,10.30.0.91,WINDOWS 11,Workstation,Team-A,Medium
winws1051,10.30.0.97,WINDOWS 11,Workstation,Team-A,Medium
winws1076,10.30.0.159,WINDOWS 11,Workstation,Team-A,Medium
winws1049,10.30.0.93,WINDOWS 11,Workstation,Team-A,Medium
winws1072,10.30.0.151,WINDOWS 11,Workstation,Team-A,Medium
winws1047,10.30.0.89,WINDOWS 11,Workstation,Team-A,Medium
winws1088,10.30.0.183,WINDOWS 11,Workstation,Team-A,Medium
winws1093,10.30.0.193,WINDOWS 11,Workstation,Team-A,Medium
winws1084,10.30.0.175,WINDOWS 11,Workstation,Team-A,Medium
winws1080,10.30.0.167,WINDOWS 11,Workstation,Team-A,Medium
winws1078,10.30.0.163,WINDOWS 11,Workstation,Team-A,Medium
winws1081,10.30.0.169,WINDOWS 11,Workstation,Team-A,Medium
winws1095,10.30.0.197,WINDOWS 11,Workstation,Team-A,Medium
winws1074,10.30.0.155,WINDOWS 11,Workstation,Team-A,Medium
winws1054,10.30.0.115,WINDOWS 11,Workstation,Team-A,Medium
winws1092,10.30.0.191,WINDOWS 11,Workstation,Team-A,Medium
winws1056,10.30.0.119,WINDOWS 11,Workstation,Team-A,Medium
winws1103,10.30.0.213,WINDOWS 11,Workstation,Team-A,Medium
winws1046,10.30.0.88,WINDOWS 11,Workstation,Team-A,Medium
winws1053,10.30.0.113,WINDOWS 11,Workstation,Team-A,Medium
winws1102,10.30.0.211,WINDOWS 11,Workstation,Team-A,Medium
winws1106,10.30.0.219,WINDOWS 11,Workstation,Team-A,Medium
winws1058,10.30.0.123,WINDOWS 11,Workstation,Team-A,Medium
winws1090,10.30.0.187,WINDOWS 11,Workstation,Team-A,Medium
winws1099,10.30.0.205,WINDOWS 11,Workstation,Team-A,Medium
winws1055,10.30.0.117,WINDOWS 11,Workstation,Team-A,Medium
winws1060,10.30.0.127,WINDOWS 11,Workstation,Team-A,Medium
winws1068,10.30.0.143,WINDOWS 11,Workstation,Team-A,Medium
winws1096,10.30.0.199,WINDOWS 11,Workstation,Team-A,Medium
winws1057,10.30.0.121,WINDOWS 11,Workstation,Team-A,Medium
winws1104,10.30.0.215,WINDOWS 11,Workstation,Team-A,Medium
winws1062,10.30.0.131,WINDOWS 11,Workstation,Team-A,Medium
winws1094,10.30.0.195,WINDOWS 11,Workstation,Team-A,Medium
winws1059,10.30.0.125,WINDOWS 11,Workstation,Team-A,Medium
winws1069,10.30.0.145,WINDOWS 11,Workstation,Team-A,Medium
winws1061,10.30.0.129,WINDOWS 11,Workstation,Team-A,Medium
winws1077,10.30.0.161,WINDOWS 11,Workstation,Team-A,Medium
winws1067,10.30.0.141,WINDOWS 11,Workstation,Team-A,Medium
winws1070,10.30.0.147,WINDOWS 11,Workstation,Team-A,Medium
winws1075,10.30.0.157,WINDOWS 11,Workstation,Team-A,Medium
winws1085,10.30.0.177,WINDOWS 11,Workstation,Team-A,Medium
winws1098,10.30.0.203,WINDOWS 11,Workstation,Team-A,Medium
winws1105,10.30.0.217,WINDOWS 11,Workstation,Team-A,Medium
winws1087,10.30.0.181,WINDOWS 11,Workstation,Team-A,Medium
winws1082,10.30.0.171,WINDOWS 11,Workstation,Team-A,Medium
winws1083,10.30.0.173,WINDOWS 11,Workstation,Team-A,Medium
winws1073,10.30.0.153,WINDOWS 11,Workstation,Team-A,Medium
winws1101,10.30.0.209,WINDOWS 11,Workstation,Team-A,Medium
winws1050,10.30.0.95,WINDOWS 11,Workstation,Team-A,Medium
winws1079,10.30.0.165,WINDOWS 11,Workstation,Team-A,Medium
winws1071,10.30.0.149,WINDOWS 11,Workstation,Team-A,Medium
winws1089,10.30.0.185,WINDOWS 11,Workstation,Team-A,Medium
winws1065,10.30.0.137,WINDOWS 11,Workstation,Team-A,Medium
winws1066,10.30.0.139,WINDOWS 11,Workstation,Team-A,Medium
winws1097,10.30.0.201,WINDOWS 11,Workstation,Team-A,Medium
winws1209,10.12.0.111,WINDOWS 11,Workstation,Team-C,Medium
winws1221,10.12.0.123,WINDOWS 11,Workstation,Team-C,Medium
winws1237,10.12.0.139,WINDOWS 11,Workstation,Team-C,Medium
winws1227,10.12.0.129,WINDOWS 11,Workstation,Team-C,Medium
winws1235,10.12.0.137,WINDOWS 11,Workstation,Team-C,Medium
winws1255,10.12.0.157,WINDOWS 11,Workstation,Team-C,Medium
winws1240,10.12.0.142,WINDOWS 11,Workstation,Team-C,Medium
winws1254,10.12.0.156,WINDOWS 11,Workstation,Team-C,Medium
winws1248,10.12.0.150,WINDOWS 11,Workstation,Team-C,Medium
winws1293,10.12.0.195,WINDOWS 11,Workstation,Team-C,Medium
winws1218,10.12.0.120,WINDOWS 11,Workstation,Team-C,Medium
winws1286,10.12.0.188,WINDOWS 11,Workstation,Team-C,Medium
winws1216,10.12.0.118,WINDOWS 11,Workstation,Team-C,Medium
winws1308,10.12.0.210,WINDOWS 11,Workstation,Team-C,Medium
winws1313,10.12.0.215,WINDOWS 11,Workstation,Team-C,Medium
winws1292,10.12.0.194,WINDOWS 11,Workstation,Team-C,Medium
winws1262,10.12.0.164,WINDOWS 11,Workstation,Team-C,Medium
winws1273,10.12.0.175,WINDOWS 11,Workstation,Team-C,Medium
winws1217,10.12.0.119,WINDOWS 11,Workstation,Team-C,Medium
winws1222,10.12.0.124,WINDOWS 11,Workstation,Team-C,Medium
winws1288,10.12.0.190,WINDOWS 11,Workstation,Team-C,Medium
winws1309,10.12.0.211,WINDOWS 11,Workstation,Team-C,Medium
winws1203,10.12.0.105,WINDOWS 11,Workstation,Team-C,Medium
winws1251,10.12.0.153,WINDOWS 11,Workstation,Team-C,Medium
winws1302,10.12.0.204,WINDOWS 11,Workstation,Team-C,Medium
winws1261,10.12.0.163,WINDOWS 11,Workstation,Team-C,Medium
winws1297,10.12.0.199,WINDOWS 11,Workstation,Team-C,Medium
winws1305,10.12.0.207,WINDOWS 11,Workstation,Team-C,Medium
winws1207,10.12.0.109,WINDOWS 11,Workstation,Team-C,Medium
winws1279,10.12.0.181,WINDOWS 11,Workstation,Team-C,Medium
winws1283,10.12.0.185,WINDOWS 11,Workstation,Team-C,Medium
winws1300,10.12.0.202,WINDOWS 11,Workstation,Team-C,Medium
winws1312,10.12.0.214,WINDOWS 11,Workstation,Team-C,Medium
winws1316,10.12.0.218,WINDOWS 11,Workstation,Team-C,Medium
winws1208,10.12.0.110,WINDOWS 11,Workstation,Team-C,Medium
winws1247,10.12.0.149,WINDOWS 11,Workstation,Team-C,Medium
winws1244,10.12.0.146,WINDOWS 11,Workstation,Team-C,Medium
winws1287,10.12.0.189,WINDOWS 11,Workstation,Team-C,Medium
winws1260,10.12.0.162,WINDOWS 11,Workstation,Team-C,Medium
winws1299,10.12.0.201,WINDOWS 11,Workstation,Team-C,Medium
winws1234,10.12.0.136,WINDOWS 11,Workstation,Team-C,Medium
winws1265,10.12.0.167,WINDOWS 11,Workstation,Team-C,Medium
winws1282,10.12.0.184,WINDOWS 11,Workstation,Team-C,Medium
winws1318,10.12.0.220,WINDOWS 11,Workstation,Team-C,Medium
winws1210,10.12.0.112,WINDOWS 11,Workstation,Team-C,Medium
winws1303,10.12.0.205,WINDOWS 11,Workstation,Team-C,Medium
winws1225,10.12.0.127,WINDOWS 11,Workstation,Team-C,Medium
winws1201,10.12.0.103,WINDOWS 11,Workstation,Team-C,Medium
winws1243,10.12.0.145,WINDOWS 11,Workstation,Team-C,Medium
winws1263,10.12.0.165,WINDOWS 11,Workstation,Team-C,Medium
winws1242,10.12.0.144,WINDOWS 11,Workstation,Team-C,Medium
winws1284,10.12.0.186,WINDOWS 11,Workstation,Team-C,Medium
winws1253,10.12.0.155,WINDOWS 11,Workstation,Team-C,Medium
winws1280,10.12.0.182,WINDOWS 11,Workstation,Team-C,Medium
winws1211,10.12.0.113,WINDOWS 11,Workstation,Team-C,Medium
winws1215,10.12.0.117,WINDOWS 11,Workstation,Team-C,Medium
winws1223,10.12.0.125,WINDOWS 11,Workstation,Team-C,Medium
winws1257,10.12.0.159,WINDOWS 11,Workstation,Team-C,Medium
winws1268,10.12.0.170,WINDOWS 11,Workstation,Team-C,Medium
winws1228,10.12.0.130,WINDOWS 11,Workstation,Team-C,Medium
winws1277,10.12.0.179,WINDOWS 11,Workstation,Team-C,Medium
winws1298,10.12.0.200,WINDOWS 11,Workstation,Team-C,Medium
winws1232,10.12.0.134,WINDOWS 11,Workstation,Team-C,Medium
winws1269,10.12.0.171,WINDOWS 11,Workstation,Team-C,Medium
winws1229,10.12.0.131,WINDOWS 11,Workstation,Team-C,Medium
winws1289,10.12.0.191,WINDOWS 11,Workstation,Team-C,Medium
winws1306,10.12.0.208,WINDOWS 11,Workstation,Team-C,Medium
winws1204,10.12.0.106,WINDOWS 11,Workstation,Team-C,Medium
winws1256,10.12.0.158,WINDOWS 11,Workstation,Team-C,Medium
winws1319,10.12.0.221,WINDOWS 11,Workstation,Team-C,Medium
winws1315,10.12.0.217,WINDOWS 11,Workstation,Team-C,Medium
winws1294,10.12.0.196,WINDOWS 11,Workstation,Team-C,Medium
winws1230,10.12.0.132,WINDOWS 11,Workstation,Team-C,Medium
winws1281,10.12.0.183,WINDOWS 11,Workstation,Team-C,Medium
winws1278,10.12.0.180,WINDOWS 11,Workstation,Team-C,Medium
winws1214,10.12.0.116,WINDOWS 11,Workstation,Team-C,Medium
winws1246,10.12.0.148,WINDOWS 11,Workstation,Team-C,Medium
winws1205,10.12.0.107,WINDOWS 11,Workstation,Team-C,Medium
winws1220,10.12.0.122,WINDOWS 11,Workstation,Team-C,Medium
winws1267,10.12.0.169,WINDOWS 11,Workstation,Team-C,Medium
winws1274,10.12.0.176,WINDOWS 11,Workstation,Team-C,Medium
winws1250,10.12.0.152,WINDOWS 11,Workstation,Team-C,Medium
winws1272,10.12.0.174,WINDOWS 11,Workstation,Team-C,Medium
winws1301,10.12.0.203,WINDOWS 11,Workstation,Team-C,Medium
winws1231,10.12.0.133,WINDOWS 11,Workstation,Team-C,Medium
winws1045,10.12.0.101,WINDOWS 11,Workstation,Team-C,Medium
winws1213,10.12.0.115,WINDOWS 11,Workstation,Team-C,Medium
winws1226,10.12.0.128,WINDOWS 11,Workstation,Team-C,Medium
winws1258,10.12.0.160,WINDOWS 11,Workstation,Team-C,Medium
winws1285,10.12.0.187,WINDOWS 11,Workstation,Team-C,Medium
winws1314,10.12.0.216,WINDOWS 11,Workstation,Team-C,Medium
winws1317,10.12.0.219,WINDOWS 11,Workstation,Team-C,Medium
winws1212,10.12.0.114,WINDOWS 11,Workstation,Team-C,Medium
winws1307,10.12.0.209,WINDOWS 11,Workstation,Team-C,Medium
winws1259,10.12.0.161,WINDOWS 11,Workstation,Team-C,Medium
winws1271,10.12.0.173,WINDOWS 11,Workstation,Team-C,Medium
winws1291,10.12.0.193,WINDOWS 11,Workstation,Team-C,Medium
winws1311,10.12.0.213,WINDOWS 11,Workstation,Team-C,Medium
winws1238,10.12.0.140,WINDOWS 11,Workstation,Team-C,Medium
winws1290,10.12.0.192,WINDOWS 11,Workstation,Team-C,Medium
winws1219,10.12.0.121,WINDOWS 11,Workstation,Team-C,Medium
winws1239,10.12.0.141,WINDOWS 11,Workstation,Team-C,Medium
winws1241,10.12.0.143,WINDOWS 11,Workstation,Team-C,Medium
winws1304,10.12.0.206,WINDOWS 11,Workstation,Team-C,Medium
winws1202,10.12.0.104,WINDOWS 11,Workstation,Team-C,Medium
winws1245,10.12.0.147,WINDOWS 11,Workstation,Team-C,Medium
winws1252,10.12.0.154,WINDOWS 11,Workstation,Team-C,Medium
winws1224,10.12.0.126,WINDOWS 11,Workstation,Team-C,Medium
winws1206,10.12.0.108,WINDOWS 11,Workstation,Team-C,Medium
winws1233,10.12.0.135,WINDOWS 11,Workstation,Team-C,Medium
winws1249,10.12.0.151,WINDOWS 11,Workstation,Team-C,Medium
winws1275,10.12.0.177,WINDOWS 11,Workstation,Team-C,Medium
winws1276,10.12.0.178,WINDOWS 11,Workstation,Team-C,Medium
winws1264,10.12.0.166,WINDOWS 11,Workstation,Team-C,Medium
winws1270,10.12.0.172,WINDOWS 11,Workstation,Team-C,Medium
winws1295,10.12.0.197,WINDOWS 11,Workstation,Team-C,Medium
winws1296,10.12.0.198,WINDOWS 11,Workstation,Team-C,Medium
winws1310,10.12.0.212,WINDOWS 11,Workstation,Team-C,Medium
winws1236,10.12.0.138,WINDOWS 11,Workstation,Team-C,Medium
winws1266,10.12.0.168,WINDOWS 11,Workstation,Team-C,Medium
winsrv0257,10.20.3.52,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0261,10.20.3.56,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0265,10.20.3.60,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0267,10.20.3.62,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0231,10.20.3.26,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0235,10.20.3.30,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0275,10.20.3.70,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0245,10.20.3.40,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0253,10.20.3.48,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0221,10.20.3.16,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0263,10.20.3.58,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0243,10.20.3.38,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0251,10.20.3.46,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0259,10.20.3.54,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0223,10.20.3.18,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0269,10.20.3.64,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0237,10.20.3.32,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0255,10.20.3.50,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0279,10.20.3.74,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0233,10.20.3.28,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0241,10.20.3.36,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0249,10.20.3.44,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0229,10.20.3.24,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0271,10.20.3.66,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0225,10.20.3.20,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0227,10.20.3.22,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0247,10.20.3.42,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0273,10.20.3.68,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0239,10.20.3.34,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0277,10.20.3.72,WINDOWS Server 2019,Server,Team-B,Medium
winsrv0244,10.20.3.39,WINDOWS Server 2022,Server,Team-B,High
winsrv0272,10.20.3.67,WINDOWS Server 2022,Server,Team-B,High
winsrv0256,10.20.3.51,WINDOWS Server 2022,Server,Team-B,High
winsrv0242,10.20.3.37,WINDOWS Server 2022,Server,Team-B,High
winsrv0270,10.20.3.65,WINDOWS Server 2022,Server,Team-B,High
winsrv0238,10.20.3.33,WINDOWS Server 2022,Server,Team-B,High
winsrv0274,10.20.3.69,WINDOWS Server 2022,Server,Team-B,High
winsrv0280,10.20.3.75,WINDOWS Server 2022,Server,Team-B,High
winsrv0230,10.20.3.25,WINDOWS Server 2022,Server,Team-B,High
winsrv0236,10.20.3.31,WINDOWS Server 2022,Server,Team-B,High
winsrv0232,10.20.3.27,WINDOWS Server 2022,Server,Team-B,High
winsrv0254,10.20.3.49,WINDOWS Server 2022,Server,Team-B,High
winsrv0240,10.20.3.35,WINDOWS Server 2022,Server,Team-B,High
winsrv0258,10.20.3.53,WINDOWS Server 2022,Server,Team-B,High
winsrv0260,10.20.3.55,WINDOWS Server 2022,Server,Team-B,High
winsrv0264,10.20.3.59,WINDOWS Server 2022,Server,Team-B,High
winsrv0220,10.20.3.15,WINDOWS Server 2022,Server,Team-B,High
winsrv0278,10.20.3.73,WINDOWS Server 2022,Server,Team-B,High
winsrv0262,10.20.3.57,WINDOWS Server 2022,Server,Team-B,High
winsrv0250,10.20.3.45,WINDOWS Server 2022,Server,Team-B,High
winsrv0234,10.20.3.29,WINDOWS Server 2022,Server,Team-B,High
winsrv0266,10.20.3.61,WINDOWS Server 2022,Server,Team-B,High
winsrv0226,10.20.3.21,WINDOWS Server 2022,Server,Team-B,High
winsrv0224,10.20.3.19,WINDOWS Server 2022,Server,Team-B,High
winsrv0276,10.20.3.71,WINDOWS Server 2022,Server,Team-B,High
winsrv0222,10.20.3.17,WINDOWS Server 2022,Server,Team-B,High
winsrv0252,10.20.3.47,WINDOWS Server 2022,Server,Team-B,High
winsrv0246,10.20.3.41,WINDOWS Server 2022,Server,Team-B,High
winsrv0228,10.20.3.23,WINDOWS Server 2022,Server,Team-B,High
winsrv0268,10.20.3.63,WINDOWS Server 2022,Server,Team-B,High
winsrv0248,10.20.3.43,WINDOWS Server 2022,Server,Team-B,High
